V Num	DTest Time	
46700.000000	208.976817	
46800.000000	209.420722	
46900.000000	209.864725	
47000.000000	210.308760	
47100.000000	210.753233	
47200.000000	211.197489	
47300.000000	211.642192	
47400.000000	212.086334	
47500.000000	212.530747	
47600.000000	212.974792	
47700.000000	213.419212	
47800.000000	213.863671	
47900.000000	214.307615	
48000.000000	214.752186	
48100.000000	215.196129	
48200.000000	215.640822	
48300.000000	216.084901	
48400.000000	216.529451	
48500.000000	216.973601	
48600.000000	217.417909	
48700.000000	217.861999	
48800.000000	218.306204	
48900.000000	218.750568	
49000.000000	219.194566	
49100.000000	219.639066	
49200.000000	220.083112	
49300.000000	220.527436	
49400.000000	220.971566	
49500.000000	221.422845	
49600.000000	221.867325	
49700.000000	222.311612	
49800.000000	222.756241	
49900.000000	223.200183	
50000.000000	223.644622	
50100.000000	224.088829	
50200.000000	224.533487	
50300.000000	224.977494	
50400.000000	225.421764	
50500.000000	225.866281	
50600.000000	226.310431	
50700.000000	226.755121	
50800.000000	227.198945	
50900.000000	227.643771	
51000.000000	228.088049	
51100.000000	228.532577	
51200.000000	228.976641	
51300.000000	229.420826	
51400.000000	229.864823	
51500.000000	230.308660	
51600.000000	230.752707	
51700.000000	231.196459	
51800.000000	231.640814	
51900.000000	232.084930	
52000.000000	232.529056	
52100.000000	232.973187	
52200.000000	233.417950	
52300.000000	233.862245	
52400.000000	234.306387	
52500.000000	234.751125	
52600.000000	235.195430	
52700.000000	235.640526	
52800.000000	236.085229	
52900.000000	236.529706	
53000.000000	236.974063	
53100.000000	237.420011	
53200.000000	237.864387	
53300.000000	238.308585	
53400.000000	238.753135	
53500.000000	239.197913	
53600.000000	239.642848	
53700.000000	240.087026	
53800.000000	240.531639	
53900.000000	240.975714	
54000.000000	241.419894	
54100.000000	241.864219	
54200.000000	242.308400	
54300.000000	242.752714	
54400.000000	243.197192	
54500.000000	243.641982	
54600.000000	244.086468	
54700.000000	244.531207	
54800.000000	244.975493	
54900.000000	245.419859	
55000.000000	245.864344	
55100.000000	246.309229	
55200.000000	246.754229	
55300.000000	247.198662	
55400.000000	247.643466	
55500.000000	248.087958	
55600.000000	248.532663	
55700.000000	248.977128	
55800.000000	249.421989	
55900.000000	249.866531	
56000.000000	250.311801	
56100.000000	250.756528	
56200.000000	251.200859	
56300.000000	251.646017	
56400.000000	252.084248	
56500.000000	252.522801	
56600.000000	252.961305	
56700.000000	253.399707	
56800.000000	253.838057	
56900.000000	254.276470	
57000.000000	254.715129	
57100.000000	255.153409	
57200.000000	255.592102	
57300.000000	256.030704	
57400.000000	256.469774	
57500.000000	256.908283	
57600.000000	257.347012	
57700.000000	257.785853	
57800.000000	258.224531	
57900.000000	258.663074	
58000.000000	259.101768	
58100.000000	259.540707	
58200.000000	259.979311	
58300.000000	260.418327	
58400.000000	260.856910	
58500.000000	261.295674	
58600.000000	261.734350	
58700.000000	262.173096	
58800.000000	262.611788	
58900.000000	263.050321	
59000.000000	263.488766	
59100.000000	263.927269	
59200.000000	264.365655	
59300.000000	264.804338	
59400.000000	265.242994	
59500.000000	265.685248	
59600.000000	266.123767	
59700.000000	266.562536	
59800.000000	267.001510	
59900.000000	267.440297	
60000.000000	267.879244	
60100.000000	268.317767	
60200.000000	268.756726	
60300.000000	269.195523	
60400.000000	269.634263	
60500.000000	270.073036	
60600.000000	270.511571	
60700.000000	270.950113	
60800.000000	271.388445	
60900.000000	271.826863	
61000.000000	272.265273	
61100.000000	272.703777	
61200.000000	273.142570	
61300.000000	273.581395	
61400.000000	274.020170	
61500.000000	274.458535	
61600.000000	274.897319	
61700.000000	275.335725	
61800.000000	275.774621	
61900.000000	276.213106	
62000.000000	276.651745	
62100.000000	277.090120	
62200.000000	277.528840	
62300.000000	277.967415	
62400.000000	278.405827	
62500.000000	278.844355	
62600.000000	279.282840	
62700.000000	279.721793	
62800.000000	280.160309	
62900.000000	280.599037	
63000.000000	281.037468	
63100.000000	281.476323	
63200.000000	281.915286	
63300.000000	282.354025	
63400.000000	282.792996	
63500.000000	283.231596	
63600.000000	283.670404	
63700.000000	284.108888	
63800.000000	284.547911	
63900.000000	284.986131	
64000.000000	285.424695	
64100.000000	285.863002	
64200.000000	286.301516	
64300.000000	286.740048	
64400.000000	287.178626	
64500.000000	287.617336	
64600.000000	288.055837	
64700.000000	288.494756	
64800.000000	288.933416	
64900.000000	289.372027	
65000.000000	289.810678	
65100.000000	290.249411	
65200.000000	290.688053	
65300.000000	291.126809	
65400.000000	291.565676	
65500.000000	292.004071	
65600.000000	292.442906	
65700.000000	292.881564	
65800.000000	293.320251	
65900.000000	293.758878	
66000.000000	294.197790	
66100.000000	294.636506	
66200.000000	295.075152	
66300.000000	295.513810	
66400.000000	295.952571	
66500.000000	296.391379	
66600.000000	296.830000	
66700.000000	297.268769	
66800.000000	297.707386	
66900.000000	298.146251	
67000.000000	298.584914	
67100.000000	299.023498	
67200.000000	299.462200	
67300.000000	299.901097	
67400.000000	300.339301	
67500.000000	300.778629	
67600.000000	301.217395	
67700.000000	301.655973	
67800.000000	302.094700	
67900.000000	302.533275	
68000.000000	302.972043	
68100.000000	303.410665	
68200.000000	303.849450	
68300.000000	304.287993	
68400.000000	304.726872	
68500.000000	305.165446	
68600.000000	305.604367	
68700.000000	306.043048	
68800.000000	306.481815	
68900.000000	306.920473	
69000.000000	307.358977	
69100.000000	307.797907	
69200.000000	308.236408	
69300.000000	308.675262	
69400.000000	309.113820	
69500.000000	309.552728	
69600.000000	309.991422	
69700.000000	310.430150	
69800.000000	310.869164	
69900.000000	311.307698	
70000.000000	311.746600	
70100.000000	312.185336	
70200.000000	312.624096	
70300.000000	313.062250	
70400.000000	313.500696	
70500.000000	313.939260	
70600.000000	314.377758	
70700.000000	314.816519	
70800.000000	315.254988	
70900.000000	315.693972	
71000.000000	316.132464	
71100.000000	316.571331	
71200.000000	317.009934	
71300.000000	317.448915	
71400.000000	317.887305	
71500.000000	318.326140	
71600.000000	318.764704	
71700.000000	319.203639	
71800.000000	319.642654	
71900.000000	320.081114	
72000.000000	320.519913	
72100.000000	320.958637	
72200.000000	321.397424	
72300.000000	321.835926	
72400.000000	322.274635	
72500.000000	322.713228	
72600.000000	323.151959	
72700.000000	323.590669	
72800.000000	324.029396	
72900.000000	324.468287	
73000.000000	324.906837	
73100.000000	325.345607	
73200.000000	325.788314	
73300.000000	326.227155	
73400.000000	326.666008	
73500.000000	327.104690	
73600.000000	327.543404	
73700.000000	327.982522	
73800.000000	328.421269	
73900.000000	328.859823	
74000.000000	329.298675	
74100.000000	329.737352	
74200.000000	330.175925	
74300.000000	330.614559	
74400.000000	331.053209	
74500.000000	331.491733	
74600.000000	331.930674	
74700.000000	332.369231	
74800.000000	332.808042	
74900.000000	333.246897	
75000.000000	333.685572	
75100.000000	334.124204	
75200.000000	334.562913	
75300.000000	335.001483	
75400.000000	335.440162	
75500.000000	335.878816	
75600.000000	336.317208	
75700.000000	336.755771	
75800.000000	337.194204	
75900.000000	337.632923	
76000.000000	338.071350	
76100.000000	338.509974	
76200.000000	338.948859	
76300.000000	339.387426	
76400.000000	339.826547	
76500.000000	340.264952	
76600.000000	340.703712	
76700.000000	341.142001	
76800.000000	341.580935	
76900.000000	342.019326	
77000.000000	342.458544	
77100.000000	342.897281	
77200.000000	343.335833	
77300.000000	343.774520	
77400.000000	344.212726	
77500.000000	344.651301	
77600.000000	345.089616	
77700.000000	345.528172	
77800.000000	345.966791	
77900.000000	346.405481	
78000.000000	346.844308	
78100.000000	347.282877	
78200.000000	347.721919	
78300.000000	348.160529	
78400.000000	348.599454	
78500.000000	349.037944	
78600.000000	349.476662	
78700.000000	349.915259	
78800.000000	350.353851	
78900.000000	350.792396	
79000.000000	351.231039	
79100.000000	351.669957	
79200.000000	352.108334	
79300.000000	352.547085	
79400.000000	352.985823	
79500.000000	353.424481	
79600.000000	353.863070	
79700.000000	354.301825	
79800.000000	354.740412	
79900.000000	355.179074	
80000.000000	355.617764	
80100.000000	356.056721	
80200.000000	356.495522	
80300.000000	356.934034	
80400.000000	357.372562	
80500.000000	357.811283	
80600.000000	358.250108	
80700.000000	358.688648	
80800.000000	359.127355	
80900.000000	359.566103	
81000.000000	360.004877	
81100.000000	360.443293	
81200.000000	360.882311	
81300.000000	361.320769	
81400.000000	361.759345	
81500.000000	362.197987	
81600.000000	362.636660	
81700.000000	363.075261	
81800.000000	363.513848	
81900.000000	363.952621	
82000.000000	364.390979	
82100.000000	364.830055	
82200.000000	365.268734	
82300.000000	365.707241	
82400.000000	366.146032	
82500.000000	366.584660	
82600.000000	367.026519	
82700.000000	367.468692	
82800.000000	367.907302	
82900.000000	368.351857	
83000.000000	368.793180	
83100.000000	369.234378	
83200.000000	369.675603	
83300.000000	370.116961	
83400.000000	370.558176	
83500.000000	370.999703	
83600.000000	371.448811	
83700.000000	371.889982	
83800.000000	372.335097	
83900.000000	372.776234	
84000.000000	373.217467	
84100.000000	373.658648	
84200.000000	374.100425	
84300.000000	374.541653	
84400.000000	374.982796	
84500.000000	375.424164	
84600.000000	375.865417	
84700.000000	376.306627	
84800.000000	376.747899	
84900.000000	377.189137	
85000.000000	377.630653	
85100.000000	378.072061	
85200.000000	378.513350	
85300.000000	378.954520	
85400.000000	379.395720	
85500.000000	379.836982	
85600.000000	380.278492	
85700.000000	380.719815	
85800.000000	381.161228	
85900.000000	381.602665	
86000.000000	382.043954	
86100.000000	382.485373	
86200.000000	382.926610	
86300.000000	383.368201	
86400.000000	383.809939	
86500.000000	384.251479	
86600.000000	384.693213	
86700.000000	385.135083	
86800.000000	385.577321	
86900.000000	386.015470	
87000.000000	386.453908	
87100.000000	386.892555	
87200.000000	387.331203	
87300.000000	387.769981	
87400.000000	388.208444	
87500.000000	388.647316	
87600.000000	389.085831	
87700.000000	389.524582	
87800.000000	389.963057	
87900.000000	390.401668	
88000.000000	390.840179	
88100.000000	391.278883	
88200.000000	391.718008	
88300.000000	392.156333	
88400.000000	392.595283	
88500.000000	393.033694	
88600.000000	393.472397	
